                                                n   % val%
Spain                                         311 3.7  3.7
Rome                                          227 2.7  2.7
Italy                                         198 2.4  2.4
Troy                                          193 2.3  2.3
Castile                                       192 2.3  2.3
France                                        180 2.1  2.1
Toledo                                        144 1.7  1.7
Greece                                        127 1.5  1.5
Flanders                                      121 1.4  1.4
Seville                                       116 1.4  1.4
Madrid                                        113 1.3  1.3
Aragon                                        108 1.3  1.3
Africa                                        102 1.2  1.2
Granada                                        92 1.1  1.1
Europe                                         90 1.1  1.1
Algiers                                        84 1.0  1.0
Córdoba                                        84 1.0  1.0
Portugal                                       84 1.0  1.0
Naples                                         81 1.0  1.0
Valencia                                       80 1.0  1.0
Germany                                        79 0.9  0.9
Libya                                          79 0.9  0.9
Spanish West Indies                            78 0.9  0.9
León                                           69 0.8  0.8
Egypt                                          68 0.8  0.8
Asia                                           66 0.8  0.8
Arabian Peninsula                              64 0.8  0.8
Barcelona                                      64 0.8  0.8
Jerusalem                                      63 0.8  0.8
Paris                                          58 0.7  0.7
Sicily                                         56 0.7  0.7
England                                        55 0.7  0.7
Milan                                          55 0.7  0.7
Navarre                                        55 0.7  0.7
China                                          50 0.6  0.6
Zaragoza                                       50 0.6  0.6
Andalusia                                      49 0.6  0.6
Hungary                                        46 0.5  0.5
Babylon                                        45 0.5  0.5
Galicia                                        43 0.5  0.5
Albania                                        41 0.5  0.5
Persia                                         40 0.5  0.5
Venice                                         40 0.5  0.5
Ethiopia                                       39 0.5  0.5
India                                          39 0.5  0.5
Salamanca                                      39 0.5  0.5
Morocco                                        38 0.5  0.5
Valladolid                                     38 0.5  0.5
Scythia                                        37 0.4  0.4
Constantinople                                 36 0.4  0.4
Oran                                           36 0.4  0.4
Prado                                          36 0.4  0.4
Athens                                         35 0.4  0.4
Zamora                                         34 0.4  0.4
Tunisia                                        33 0.4  0.4
Cádiz                                          32 0.4  0.4
Biscay                                         31 0.4  0.4
Cyprus                                         31 0.4  0.4
Barbary Coast                                  29 0.3  0.3
Lisbon                                         29 0.3  0.3
Asturias                                       28 0.3  0.3
Guadalquivir                                   28 0.3  0.3
Israel                                         28 0.3  0.3
Austria                                        27 0.3  0.3
Burgos                                         27 0.3  0.3
Genoa                                          26 0.3  0.3
Crete                                          24 0.3  0.3
Florence                                       24 0.3  0.3
Santiago de Compostela                         24 0.3  0.3
Guadarrama                                     23 0.3  0.3
Marseille                                      23 0.3  0.3
Mecca                                          23 0.3  0.3
Pyrenees                                       23 0.3  0.3
Alcalá de Henares                              22 0.3  0.3
Douro                                          22 0.3  0.3
Alhambra                                       21 0.3  0.3
Cartagena                                      21 0.3  0.3
Fez                                            21 0.3  0.3
Jaén                                           21 0.3  0.3
Jordan River                                   21 0.3  0.3
Manzanares                                     21 0.3  0.3
Catalonia                                      20 0.2  0.2
Alba                                           19 0.2  0.2
Ávila                                          19 0.2  0.2
